Contact Type,Precinct,# Contact Attempts,# Contacts/Canvasses,Contact rate,,
1: Doors,Pct 230,29496,1897,6.43%,Average Doors Contact Rate,
1: Doors,Pct 011,28230,632,2.24%,10.12%,0.1011922394
1: Doors,Pct 212,25925,2840,10.95%,,
1: Doors,Pct 022,25406,707,2.78%,Total Knocks,
1: Doors,Pct 222,21908,1586,7.24%,1006006,
1: Doors,Pct 089,20399,1414,6.93%,,
1: Doors,Pct 213,15094,2257,14.95%,Total Door Conversations,
1: Doors,Pct 145,13757,1636,11.89%,101800,
1: Doors,Pct 210,13581,938,6.91%,,
1: Doors,Pct 229,13514,1738,12.86%,,
1: Doors,Pct 211,13164,1098,8.34%,,
1: Doors,Pct 228,12988,581,4.47%,,
1: Doors,Pct 147,12428,621,5.00%,,
1: Doors,Pct 148,12404,1546,12.46%,,
1: Doors,Pct 016,12248,989,8.07%,,
1: Doors,Pct 203,12242,1482,12.11%,,
1: Doors,Pct 204,12167,1383,11.37%,,
1: Doors,Pct 052,11876,664,5.59%,,
1: Doors,Pct 135,11561,1385,11.98%,,
1: Doors,Pct 013,11481,528,4.60%,,
1: Doors,Pct 053,11382,1073,9.43%,,
1: Doors,Pct 081,11256,868,7.71%,,
1: Doors,Pct 024,11182,738,6.60%,,
1: Doors,Pct 012,11088,920,8.30%,,
1: Doors,Pct 040,11035,843,7.64%,,
1: Doors,Pct 082,10501,901,8.58%,,
1: Doors,Pct 138,10285,394,3.83%,,
1: Doors,Pct 014,10039,1028,10.24%,,
1: Doors,Pct 098,9957,532,5.34%,,
1: Doors,Pct 030,9731,879,9.03%,,
1: Doors,Pct 227,9677,1239,12.80%,,
1: Doors,Pct 223,9643,926,9.60%,,
1: Doors,Pct 078,9302,579,6.22%,,
1: Doors,Pct 105,8879,413,4.65%,,
1: Doors,Pct 146,8730,875,10.02%,,
1: Doors,Pct 009,8403,234,2.78%,,
1: Doors,Pct 102,8243,1045,12.68%,,
1: Doors,Pct 126,7846,1332,16.98%,,
1: Doors,Pct 237,7680,801,10.43%,,
1: Doors,Pct 054,7557,1003,13.27%,,
1: Doors,Pct 046,7239,620,8.56%,,
1: Doors,Pct 015,7096,525,7.40%,,
1: Doors,Pct 243,6992,1124,16.08%,,
1: Doors,Pct 107,6967,890,12.77%,,
1: Doors,Pct 025,6743,1431,21.22%,,
1: Doors,Pct 231,6557,894,13.63%,,
1: Doors,Pct 042,6556,823,12.55%,,
1: Doors,Pct 023,6466,714,11.04%,,
1: Doors,Pct 149,6422,643,10.01%,,
1: Doors,Pct 085,6276,1393,22.20%,,
1: Doors,Pct 080,6269,1009,16.10%,,
1: Doors,Pct 031,5710,986,17.27%,,
1: Doors,Pct 109,5653,623,11.02%,,
1: Doors,Pct 017,5619,431,7.67%,,
1: Doors,Pct 084,5598,483,8.63%,,
1: Doors,Pct 034,5556,818,14.72%,,
1: Doors,Pct 151,5545,412,7.43%,,
1: Doors,Pct 006,5419,345,6.37%,,
1: Doors,Pct 039,5363,907,16.91%,,
1: Doors,Pct 216,5307,568,10.70%,,
1: Doors,Pct 202,5176,1076,20.79%,,
1: Doors,Pct 140,5148,398,7.73%,,
1: Doors,Pct 120,5134,310,6.04%,,
1: Doors,Pct 224,5086,255,5.01%,,
1: Doors,Pct 029,5086,556,10.93%,,
1: Doors,Pct 047,5069,703,13.87%,,
1: Doors,Pct 117,5046,316,6.26%,,
1: Doors,Pct 049,5040,292,5.79%,,
1: Doors,Pct 069,4957,836,16.87%,,
1: Doors,Pct 033,4922,692,14.06%,,
1: Doors,Pct 206,4798,1115,23.24%,,
1: Doors,Pct 021,4788,459,9.59%,,
1: Doors,Pct 002,4705,351,7.46%,,
1: Doors,Pct 043,4695,575,12.25%,,
1: Doors,Pct 124,4660,442,9.48%,,
1: Doors,Pct 241,4596,752,16.36%,,
1: Doors,Pct 207,4587,464,10.12%,,
1: Doors,Pct 137,4545,395,8.69%,,
1: Doors,Pct 083,4490,475,10.58%,,
1: Doors,Pct 132,4374,335,7.66%,,
1: Doors,Pct 091,4356,554,12.72%,,
1: Doors,Pct 130,4284,430,10.04%,,
1: Doors,Pct 141,4269,144,3.37%,,
1: Doors,Pct 104,4209,442,10.50%,,
1: Doors,Pct 028,4159,870,20.92%,,
1: Doors,Pct 239,4042,363,8.98%,,
1: Doors,Pct 051,4017,554,13.79%,,
1: Doors,Pct 003,3977,410,10.31%,,
1: Doors,Pct 027,3950,546,13.82%,,
1: Doors,Pct 038,3846,353,9.18%,,
1: Doors,Pct 057,3666,346,9.44%,,
1: Doors,Pct 214,3631,308,8.48%,,
1: Doors,Pct 071,3627,344,9.48%,,
1: Doors,Pct 037,3600,245,6.81%,,
1: Doors,Pct 045,3568,357,10.01%,,
1: Doors,Pct 200,3558,331,9.30%,,
1: Doors,Pct 127,3544,856,24.15%,,
1: Doors,Pct 007,3495,358,10.24%,,
1: Doors,Pct 061,3473,252,7.26%,,
1: Doors,Pct 063,3446,401,11.64%,,
1: Doors,Pct 201,3446,559,16.22%,,
1: Doors,Pct 050,3435,197,5.74%,,
1: Doors,Pct 005,3408,318,9.33%,,
1: Doors,Pct 108,3319,301,9.07%,,
1: Doors,Pct 099,3315,199,6.00%,,
1: Doors,Pct 111,3297,299,9.07%,,
1: Doors,Pct 062,3242,302,9.32%,,
1: Doors,Pct 041,3197,654,20.46%,,
