"","contest_title","precinct","winning_candidate","winning_party","trailing_candidate","trailing_party","winning_count_early","winning_count_person","winning_count_mail","winning_count_total","trailing_count_early","trailing_count_person","trailing_count_mail","trailing_count_total","total_count","Year"
"1","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",1,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",346,312,87,745,324,284,83,691,2599,2022
"2","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",2,"Leigh Altman","DEM","Patricia (Pat) Cotham","DEM",712,621,123,1456,695,621,121,1437,4830,2022
"3","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",3,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",318,245,20,583,326,229,16,571,1816,2022
"4","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",4,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",299,321,58,678,285,307,54,646,2241,2022
"5","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",5,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",190,273,19,482,181,261,17,459,1534,2022
"6","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",6,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",254,287,32,573,250,272,31,553,1851,2022
"7","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",7,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",418,334,66,818,415,315,64,794,2744,2022
"8","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",8,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",480,361,76,917,437,333,74,844,3406,2022
"9","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",9,"Leigh Altman","DEM","Patricia (Pat) Cotham","DEM",885,804,142,1831,883,782,144,1809,6245,2022
"10","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",10,"Leigh Altman","DEM","Patricia (Pat) Cotham","DEM",641,516,83,1240,642,502,86,1230,4263,2022
"11","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",11,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",1829,1027,184,3040,1790,1015,188,2993,10276,2022
"12","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",12,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",463,378,49,890,468,354,46,868,2857,2022
"13","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",13,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",734,656,96,1486,727,640,100,1467,4826,2022
"14","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",14,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",817,737,118,1672,809,731,115,1655,5386,2022
"15","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",15,"Leigh Altman","DEM","Patricia (Pat) Cotham","DEM",945,992,155,2092,933,983,154,2070,6745,2022
"16","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",16,"Arthur Griffin, Jr.","DEM","Patricia (Pat) Cotham","DEM",724,432,43,1199,708,430,44,1182,3607,2022
"17","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",17,"Patricia (Pat) Cotham","DEM","Arthur Griffin, Jr.","DEM",220,286,23,529,212,275,21,508,1635,2022
"18","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",18,"Patricia (Pat) Cotham","DEM","Tatyana Thulien","REP",301,384,66,751,235,408,28,671,2719,2022
"19","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",19,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",416,286,50,752,391,268,55,714,2750,2022
"20","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",20,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",582,455,99,1136,565,467,101,1133,3983,2022
"21","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",21,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",501,510,71,1082,504,485,71,1060,3736,2022
"22","MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE",22,"Patricia (Pat) Cotham","DEM","Leigh Altman","DEM",1224,1048,222,2494,1201,1044,214,2459,8766,2022
